timestamp,day_of_week,is_weekend,temperature,is_holiday,solar_generation,electricity_demand
2024-01-01,0,0,28.53424919699969,0,204.12616608540583,7111.844175151013
2024-01-02,1,0,18.140663543922297,0,218.24857711416445,6519.907336210748
2024-01-03,2,0,19.539847232382716,0,517.308623743971,1000.0
2024-01-04,3,0,17.51912876911197,0,207.28234755597876,6610.470500414131
2024-01-05,4,0,18.255589739716342,0,421.40292181124425,2556.0554246055963
2024-01-06,5,1,13.403409777034835,0,169.377425640676,7195.000547056833
2024-01-07,6,1,10.759615082981842,0,369.0389131040024,2600.5893874740727
2024-01-08,0,0,18.02982674747467,0,416.3307568746752,2941.9348420717115
2024-01-09,1,0,4.9091587798130405,0,218.21642492435305,5853.483979401676
2024-01-10,2,0,18.700610285280533,0,587.3080474795397,1000.0
2024-01-11,3,0,17.6440674704468,0,333.2922716705267,4160.587942708091
2024-01-12,4,0,12.054997333567087,0,271.62382578302277,4912.434181535223
2024-01-13,5,1,15.94347654724612,0,278.1162034176257,4907.642416115441
2024-01-14,6,1,11.205639718947669,0,106.44474430704595,8482.02704819217
2024-01-15,0,0,10.333813918495405,0,572.1560234253684,1000.0
2024-01-16,1,0,19.77528254631868,0,295.60769525085044,4964.887092829879
2024-01-17,2,0,15.953971611858577,0,285.68040271027195,5091.382438733672
2024-01-18,3,0,24.89378662056414,0,515.5385483762759,1076.5061168171046
2024-01-19,4,0,28.029836398956398,0,436.06481584488586,2587.8777800793328
2024-01-20,5,1,18.417544427694573,0,115.61558835148311,8535.564109334824
2024-01-21,6,1,16.51332724292591,0,167.94802060643815,7255.78526568149
2024-01-22,0,0,23.468614626020177,0,269.0503960546024,5842.427782749217
2024-01-23,1,0,6.469570346324613,0,270.12071761780817,4831.663631062499
2024-01-24,2,0,9.204402922257852,0,274.2538075331777,4944.290874350489
2024-01-25,3,0,14.325796396969938,0,583.3640687654661,1000.0
2024-01-26,4,0,16.952639213668704,1,452.68438183659816,1395.6781547675412
2024-01-27,5,1,15.834523180464066,0,244.76933333021216,5717.32163095468
2024-01-28,6,1,15.922509296411214,0,183.2041693533816,6960.922767520475
2024-01-29,0,0,19.03852957128857,0,310.86552658411216,4759.68595335921
2024-01-30,1,0,15.364798376585194,0,467.9340637936039,1589.4838659836987
2024-01-31,2,0,18.19393506749664,0,519.0351362024176,1000.0
2024-02-01,3,0,16.64823149402262,0,462.3698499608031,1461.4409789902093
2024-02-02,4,0,12.514479885553342,0,265.65265659409994,5431.075903359868
2024-02-03,5,1,11.229651494799686,0,268.9008670097919,4803.418894468486
2024-02-04,6,1,10.282967983740342,0,232.01183813237066,5670.844985469261
2024-02-05,0,0,17.423758235908164,0,474.5542715972748,1524.5844074114968
2024-02-06,1,0,14.416133417664629,0,565.5497988312154,1000.0
2024-02-07,2,0,24.508773976302564,0,229.44307634843048,6572.636371952269
2024-02-08,3,0,16.190634793845092,0,350.95749714947885,3852.5357287427714
2024-02-09,4,0,24.983261426847832,0,468.17951617254346,2003.5777084856322
2024-02-10,5,1,10.03368250013317,0,339.95082712718977,3566.6177574316534
2024-02-11,6,1,15.9839975249567,0,321.78815146806255,3864.6974797701178
2024-02-12,0,0,9.316777031954071,0,271.7423915672698,5362.359367493922
2024-02-13,1,0,15.001832398028219,0,490.0381997792074,1000.0
2024-02-14,2,0,20.12992076040786,0,238.1534826692833,6214.252648737624
2024-02-15,3,0,14.217010478555062,0,370.31480749366426,3219.668198286258
2024-02-16,4,0,14.842104280459438,0,458.15036795107034,1477.7656326654494
2024-02-17,5,1,18.249129167454228,0,325.82038283031113,4031.1763537371626
2024-02-18,6,1,25.77423221629736,0,266.6543781675074,5662.167162111095
2024-02-19,0,0,11.948705720886293,0,563.7416827459884,1000.0
2024-02-20,1,0,11.22337329994721,0,297.89341050265057,4923.051389539234
2024-02-21,2,0,13.267907482407278,0,235.51628413586883,5463.431450672111
2024-02-22,3,0,15.735133856620617,0,238.73739775229078,6169.858306750319
2024-02-23,4,0,12.60275980479452,0,551.3371616598367,1000.0
2024-02-24,5,1,17.793847032215336,0,166.13831572493854,7222.397809427926
