timestamp,day_of_week,hour_of_day,is_weekend,temperature,is_holiday,solar_generation,electricity_demand
2025-01-01 00:00:00,2,0,0,28.53424919699969,0,9.863743619337622,551.9734637068899
2025-01-01 01:00:00,2,1,0,18.140663543922297,0,1.8558333872443489,569.0992020747565
2025-01-01 02:00:00,2,2,0,19.539847232382716,0,8.508665412048655,663.3360363715062
2025-01-01 03:00:00,2,3,0,17.51912876911197,0,4.6087030190407035,516.2064314612121
2025-01-01 04:00:00,2,4,0,18.255589739716342,0,0.6897768523481607,554.2412649173158
2025-01-01 05:00:00,2,5,0,13.403409777034835,0,7.954255630934877,514.4389496114364
2025-01-01 06:00:00,2,6,0,10.759615082981842,0,82.1924843843388,503.55311642660894
2025-01-01 07:00:00,2,7,0,18.02982674747467,0,177.7401691758538,465.06217022330554
2025-01-01 08:00:00,2,8,0,4.9091587798130405,0,151.56191107454637,413.03425439715005
2025-01-01 09:00:00,2,9,0,18.700610285280533,0,293.536939858011,356.5138131360685
2025-01-01 10:00:00,2,10,0,17.6440674704468,0,93.00659401826854,534.0029099966878
2025-01-01 11:00:00,2,11,0,12.054997333567087,0,102.13869370202451,498.83570994727006
2025-01-01 12:00:00,2,12,0,15.94347654724612,0,264.79975369877593,302.0518934595478
2025-01-01 13:00:00,2,13,0,11.205639718947669,0,200.3306573595375,318.59030887489126
2025-01-01 14:00:00,2,14,0,10.333813918495405,0,179.19354598678046,444.50638406513013
2025-01-01 15:00:00,2,15,0,19.77528254631868,0,253.06784429782758,454.8618301605115
2025-01-01 16:00:00,2,16,0,15.953971611858577,0,218.420642664709,389.1938944186759
2025-01-01 17:00:00,2,17,0,24.89378662056414,0,239.49896765261914,541.2748348388686
2025-01-01 18:00:00,2,18,0,28.029836398956398,0,176.23810253017567,657.5562022477038
2025-01-01 19:00:00,2,19,0,18.417544427694573,0,3.823490232973662,581.0833617295359
2025-01-01 20:00:00,2,20,0,16.51332724292591,0,2.5865596198561946,673.4536084031955
2025-01-01 21:00:00,2,21,0,23.468614626020177,0,6.027694618531645,711.7934109701197
2025-01-01 22:00:00,2,22,0,6.469570346324613,0,2.9044144500969615,593.5933252591035
2025-01-01 23:00:00,2,23,0,9.204402922257852,0,4.790552836539327,651.6281105635031
2025-01-02 00:00:00,3,0,0,14.325796396969938,0,9.365078835017114,459.9007811338853
2025-01-02 01:00:00,3,1,0,16.952639213668704,0,3.942630510767299,468.8201076238788
2025-01-02 02:00:00,3,2,0,15.834523180464066,0,1.4214717421148926,507.4127852411052
2025-01-02 03:00:00,3,3,0,15.922509296411214,0,6.9308229802865835,501.5251245535964
2025-01-02 04:00:00,3,4,0,19.03852957128857,0,1.1905319350347021,614.4723152694563
2025-01-02 05:00:00,3,5,0,15.364798376585194,0,5.591652516417658,495.3895513906945
2025-01-02 06:00:00,3,6,0,18.19393506749664,0,204.74873727223442,475.108574195066
2025-01-02 07:00:00,3,7,0,16.64823149402262,0,277.07145634247007,421.5393894744547
2025-01-02 08:00:00,3,8,0,12.514479885553342,0,298.8064771680621,341.0649434335519
2025-01-02 09:00:00,3,9,0,11.229651494799686,0,61.57948256922225,483.2191650090131
2025-01-02 10:00:00,3,10,0,10.282967983740342,0,142.1533327110028,349.4470017314726
2025-01-02 11:00:00,3,11,0,17.423758235908164,0,272.29878962857174,386.6794865478796
2025-01-02 12:00:00,3,12,0,14.416133417664629,0,110.69553287003387,418.8232032012612
2025-01-02 13:00:00,3,13,0,24.508773976302564,0,196.00476733024942,526.8142554077931
2025-01-02 14:00:00,3,14,0,16.190634793845092,0,285.3734339148973,343.2688754877716
2025-01-02 15:00:00,3,15,0,24.983261426847832,0,192.199908408168,477.20545596423665
2025-01-02 16:00:00,3,16,0,10.03368250013317,0,95.30665787644017,435.8677895229321
2025-01-02 17:00:00,3,17,0,15.9839975249567,0,100.45437024602961,476.0390507286328
2025-01-02 18:00:00,3,18,0,9.316777031954071,0,54.25719653902157,545.77310578773
2025-01-02 19:00:00,3,19,0,15.001832398028219,0,1.1771042417109412,612.0603060357649
2025-01-02 20:00:00,3,20,0,20.12992076040786,0,2.7596977670855227,581.2422969164868
2025-01-02 21:00:00,3,21,0,14.217010478555062,0,7.2898476773099565,629.1637041957748
2025-01-02 22:00:00,3,22,0,14.842104280459438,0,2.0148518726671707,544.7219868912177
2025-01-02 23:00:00,3,23,0,18.249129167454228,0,8.792660345025272,481.11928584438897
2025-01-03 00:00:00,4,0,0,25.77423221629736,0,8.04668620307889,561.7938372540126
2025-01-03 01:00:00,4,1,0,11.948705720886293,0,9.792500606069845,493.16970623170664
2025-01-03 02:00:00,4,2,0,11.22337329994721,0,5.049303562499395,575.3007287452036
2025-01-03 03:00:00,4,3,0,13.267907482407278,0,8.495065087743926,552.6397425236955
2025-01-03 04:00:00,4,4,0,15.735133856620617,0,8.160536973879523,544.9758152163255
2025-01-03 05:00:00,4,5,0,12.60275980479452,0,7.480890747688569,540.9249852257628
2025-01-03 06:00:00,4,6,0,17.793847032215336,0,289.22565700786635,360.1447512149842
2025-01-03 07:00:00,4,7,0,20.12405139168608,0,179.95727484949452,501.95126692136984
2025-01-03 08:00:00,4,8,0,10.370628705950466,0,54.68498698982705,497.78996714315144
2025-01-03 09:00:00,4,9,0,24.314320692469767,0,250.9546622095602,379.95929603689297
2025-01-03 10:00:00,4,10,0,9.330914192081057,0,252.3563703777885,373.18950695678024
2025-01-03 11:00:00,4,11,0,18.052389537692317,0,272.30213453971805,424.2600387883234
2025-01-03 12:00:00,4,12,0,16.930151560567758,0,220.67333920462426,477.24275777527293
2025-01-03 13:00:00,4,13,0,25.42009265169481,0,268.7822983573924,426.03045905644717
2025-01-03 14:00:00,4,14,0,13.117406623753805,0,245.8301899137856,421.7642753486108
2025-01-03 15:00:00,4,15,0,16.151681717962035,0,258.03991802657174,437.2230543196802
2025-01-03 16:00:00,4,16,0,18.406046462933787,0,247.40765603917166,435.2188677539566
2025-01-03 17:00:00,4,17,0,20.175625373869607,0,251.49274410972401,388.4301526595808
2025-01-03 18:00:00,4,18,0,14.844197592534503,0,298.2029888125004,551.4568295150896
2025-01-03 19:00:00,4,19,0,24.6996615549631,0,4.059161250888657,648.3700275375339
2025-01-03 20:00:00,4,20,0,9.97406541371867,0,5.573234260529347,518.8395016110492
2025-01-03 21:00:00,4,21,0,11.291051476655376,0,8.015605580621099,601.4242597251784
